,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Award,MeanPrice,USDPrice,Country
0,Aqua,"Parkstraße 1, Wolfsburg, 38440, Germany",Wolfsburg,225,225,EUR,Creative,3 MICHELIN Stars,225.0,249.7725, Germany
1,The Table Kevin Fehling,"Shanghaiallee 15, Hamburg, 20457, Germany",Hamburg,230,230,EUR,Creative,3 MICHELIN Stars,230.0,255.323, Germany
2,Restaurant Überfahrt Christian Jürgens,"Überfahrtstraße 10, Rottach-Egern, 83700, Germany",Rottach-Egern,259,319,EUR,Creative,3 MICHELIN Stars,289.0,320.8189, Germany
3,Victor's Fine Dining by christian bau,"Schlossstraße 27, Perl, 66706, Germany",Perl,205,295,EUR,Creative,3 MICHELIN Stars,250.0,277.525, Germany
4,Rutz,"Chausseestraße 8, Berlin, 10115, Germany",Berlin,198,245,EUR,Creative,3 MICHELIN Stars,221.5,245.88715, Germany
5,Restaurant Bareiss,"Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany",Baiersbronn,150,335,EUR,French,3 MICHELIN Stars,242.5,269.19925, Germany
6,temporaire - Schwarzwaldstube,"Tonbachstraße 237, Baiersbronn, 72270, Germany",Baiersbronn,215,265,EUR,French,3 MICHELIN Stars,240.0,266.424, Germany
7,schanz. restaurant.,"Bahnhofstraße 8a, Piesport, 54498, Germany",Piesport,115,178,EUR,French,3 MICHELIN Stars,146.5,162.62965, Germany
8,Waldhotel Sonnora,"Auf'm Eichelfeld 1, Dreis, 54518, Germany",Dreis,225,249,EUR,French,3 MICHELIN Stars,237.0,263.0937, Germany
9,L'Enclume,"Cavendish Street, Cartmel, LA11 6PZ, United Kingdom",Cartmel,79,175,GBP,Creative,3 MICHELIN Stars,127.0,166.656067143448, United Kingdom
10,Fat Duck,"High Street, Bray, SL6 2AQ, United Kingdom",Bray,275,375,GBP,Creative,3 MICHELIN Stars,325.0,426.482061587564, United Kingdom
11,Waterside Inn,"Ferry Road, Bray, SL6 2AT, United Kingdom",Bray,170,188,GBP,French,3 MICHELIN Stars,179.0,234.893196997459, United Kingdom
12,Restaurant Gordon Ramsay,"68-69 Royal Hospital Road, London, SW3 4HP, United Kingdom",London,120,220,GBP,French,3 MICHELIN Stars,170.0,223.082924522726, United Kingdom
13,Hélène Darroze at The Connaught,"Carlos Place, London, W1K 2AL, United Kingdom",London,85,185,GBP,Modern,3 MICHELIN Stars,135.0,177.154087120988, United Kingdom
14,CORE by Clare Smyth,"92 Kensington Park Road, London, W11 2PN, United Kingdom",London,125,195,GBP,British,3 MICHELIN Stars,160.0,209.960399550801, United Kingdom
15,Sketch (The Lecture Room & Library),"9 Conduit Street, London, W1S 2XG, United Kingdom",London,125,250,GBP,French,3 MICHELIN Stars,187.5,246.047343223595, United Kingdom
16,Alain Ducasse at The Dorchester,"Park Lane, London, W1K 1QA, United Kingdom",London,95,195,GBP,French,3 MICHELIN Stars,145.0,190.276612092913, United Kingdom
17,Amador,"Grinzinger Straße 86, Vienna, 1190, Austria",Vienna,265,265,EUR,Creative,3 MICHELIN Stars,265.0,294.1765, Austria
18,Xin Rong Ji (Xinyuan South Road),"8 Xinyuan South Road, Beijing, China Mainland",Beijing,1000,2000,CNY,Chinese,3 MICHELIN Stars,1500.0,236.516909790776, China Mainland
19,King's Joy,"2 Wudaoying Hutong, Beijing, China Mainland",Beijing,699,1399,CNY,Vegetarian,3 MICHELIN Stars,1049.0,165.404158913683, China Mainland
20,Jade Dragon,"Estrada do Istmo, Macau",Macau,880,2000,HKD,Cantonese,3 MICHELIN Stars,1440.0,183.914033917025, Macau
21,Robuchon au Dôme,"Avenida de Lisboa, Macau",Macau,988,3500,HKD,French,3 MICHELIN Stars,2244.0,286.599369520698, Macau
22,The Eight,"Avenida de Lisboa, Macau",Macau,2800,3000,HKD,Cantonese,3 MICHELIN Stars,2900.0,370.382429416231, Macau
23,8 1/2 Otto e Mezzo - Bombana,"18 Chater Road, Hong Kong",Hong Kong,700,2080,HKD,Italian,3 MICHELIN Stars,1390.0,177.528129961573, Hong Kong
24,T'ang Court,"8 Peking Road, Hong Kong",Hong Kong,1400,1830,HKD,Cantonese,3 MICHELIN Stars,1615.0,206.264697761108, Hong Kong
25,Sushi Shikon,"15 Queen's Road Central, Hong Kong",Hong Kong,2000,3500,HKD,Sushi,3 MICHELIN Stars,2750.0,351.224717549875, Hong Kong
26,Caprice,"8 Finance Street, Hong Kong",Hong Kong,745,2600,HKD,French,3 MICHELIN Stars,1672.5,213.608487309878, Hong Kong
27,Forum,"255-257 Gloucester Road, Hong Kong",Hong Kong,2000,2000,HKD,Cantonese,3 MICHELIN Stars,2000.0,255.436158218091, Hong Kong
28,Lung King Heen,"8 Finance Street, Hong Kong",Hong Kong,760,2980,HKD,Cantonese,3 MICHELIN Stars,1870.0,238.832807933915, Hong Kong
29,L'Atelier de Joël Robuchon,"15 Queen's Road Central, Hong Kong",Hong Kong,680,2600,HKD,French,3 MICHELIN Stars,1640.0,209.457649738834, Hong Kong
30,Azurmendi,"Legina Auzoa, Larrabetzu, 48195, Spain",Larrabetzu,250,250,EUR,Creative,3 MICHELIN Stars,250.0,277.525, Spain
31,Martín Berasategui,"Loidi 4, Lasarte - Oria, 20160, Spain",Lasarte - Oria,220,290,EUR,Creative,3 MICHELIN Stars,255.0,283.0755, Spain
32,Aponiente,"Francisco Cossi Ochoa, El Puerto de Santa María, 11500, Spain",El Puerto de Santa María,215,215,EUR,Creative,3 MICHELIN Stars,215.0,238.6715, Spain
33,El Celler de Can Roca,"Can Sunyer 48, Girona, 17007, Spain",Girona,190,350,EUR,Creative,3 MICHELIN Stars,270.0,299.727, Spain
34,Quique Dacosta,"Rascassa 1, Dénia, 03700, Spain",Dénia,210,210,EUR,Creative,3 MICHELIN Stars,210.0,233.121, Spain
35,Cenador de Amós,"Plaza del Sol, Villaverde de Pontones, 39793, Spain",Villaverde de Pontones,197,235,EUR,Modern,3 MICHELIN Stars,216.0,239.7816, Spain
36,DiverXO,"Padre Damián 23, Madrid, 28036, Spain",Madrid,365,365,EUR,Creative,3 MICHELIN Stars,365.0,405.1865, Spain
37,Arzak,"Avenida Alcalde José Elosegi 273, Donostia / San Sebastián, 20015, Spain",Donostia / San Sebastián,230,260,EUR,Creative,3 MICHELIN Stars,245.0,271.9745, Spain
38,Akelaŕe,"Paseo del Padre Orcolaga 56, Donostia / San Sebastián, 20008, Spain",Donostia / San Sebastián,240,240,EUR,Creative,3 MICHELIN Stars,240.0,266.424, Spain
39,Lasarte,"Mallorca 259, Barcelona, 08008, Spain",Barcelona,175,250,EUR,Creative,3 MICHELIN Stars,212.5,235.89625, Spain
40,ABaC,"Avenida del Tibidabo 1, Barcelona, 08022, Spain",Barcelona,250,250,EUR,Creative,3 MICHELIN Stars,250.0,277.525, Spain
41,L'OSIER,"7-5-5 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Tokyo,13000,44000,JPY,French,3 MICHELIN Stars,28500.0,234.05970259673, Japan
42,Sazenka,"4-7-5 Minamiazabu, Minato-ku, Tokyo, 106-0047, Japan",Tokyo,34000,73000,JPY,Chinese,3 MICHELIN Stars,53500.0,439.37523119035296, Japan
43,Kagurazaka Ishikawa,"5-37 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan",Tokyo,43000,43000,JPY,Japanese,3 MICHELIN Stars,43000.0,353.142709181031, Japan
44,Kanda,"1-1-1 Atago, Minato-ku, Tokyo, 105-0002, Japan",Tokyo,37000,43000,JPY,Japanese,3 MICHELIN Stars,40000.0,328.504845749797, Japan
45,L'Effervescence,"2-26-4 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan",Tokyo,34000,34000,JPY,French,3 MICHELIN Stars,34000.0,279.229118887327, Japan
46,Quintessence,"6-7-29 Kitashinagawa, Shinagawa-ku, Tokyo, 141-0001, Japan",Tokyo,35000,35000,JPY,French,3 MICHELIN Stars,35000.0,287.441740031072, Japan
47,Azabu Kadowaki,"2-7-2 Azabujuban, Minato-ku, Tokyo, 106-0045, Japan",Tokyo,26000,70000,JPY,Japanese,3 MICHELIN Stars,48000.0,394.205814899756, Japan
48,Joël Robuchon,"1-13-1 Mita, Meguro-ku, Tokyo, 153-0062, Japan",Tokyo,23000,54000,JPY,French,3 MICHELIN Stars,38500.0,316.185914034179, Japan
49,RyuGin,"1-1-2 Yurakucho, Chiyoda-ku, Tokyo, 100-0006, Japan",Tokyo,49000,49000,JPY,Japanese,3 MICHELIN Stars,49000.0,402.41843604350095, Japan
50,Sushi Yoshitake,"7-8-13 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Tokyo,38000,38000,JPY,Sushi,3 MICHELIN Stars,38000.0,312.079603462307, Japan
51,Kohaku,"3-4 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan",Tokyo,43000,43000,JPY,Japanese,3 MICHELIN Stars,43000.0,353.142709181031, Japan
52,Makimura,"3-11-5 Minamioi, Shinagawa-ku, Tokyo, 140-0013, Japan",Tokyo,27000,27000,JPY,Japanese,3 MICHELIN Stars,27000.0,221.740770881113, Japan
53,Gaon,"M Floor Horim Art Center, 317 Dosan-daero, Gangnam-gu, SEOUL, South Korea",SEOUL,130000,260000,KRW,Korean,3 MICHELIN Stars,195000.0,160.660768756912, South Korea
54,La Yeon,"23F Shilla Hotel, 249 Dongho-ro, Jung-gu, SEOUL, South Korea",SEOUL,109000,280000,KRW,Korean,3 MICHELIN Stars,194500.0,160.248818067791, South Korea
55,Dal Pescatore,"località Runate 15, Runate, 46013, Italy",Runate,150,300,EUR,Italian,3 MICHELIN Stars,225.0,249.7725, Italy
56,Le Calandre,"via Liguria 1, località Sarmeola, Rubano, 35030, Italy",Rubano,150,225,EUR,Creative,3 MICHELIN Stars,187.5,208.14375, Italy
57,Reale,"contrada Santa Liberata, località Casadonna, Castel di Sangro, 67031, Italy",Castel di Sangro,170,220,EUR,Creative,3 MICHELIN Stars,195.0,216.4695, Italy
58,Osteria Francescana,"via Stella 22, Modena, 41121, Italy",Modena,320,320,EUR,Creative,3 MICHELIN Stars,320.0,355.232, Italy
59,Da Vittorio,"via Cantalupa 17, Brusaporto, 24060, Italy",Brusaporto,220,380,EUR,Modern,3 MICHELIN Stars,300.0,333.03, Italy
60,St. Hubertus,"strada Micura de Rue 20, San Cassiano, 39030, Italy",San Cassiano,280,310,EUR,Alpine,3 MICHELIN Stars,295.0,327.4795, Italy
61,Enrico Bartolini al Mudec,"via Tortona 56, Milan, 20123, Italy",Milan,200,300,EUR,Innovative,3 MICHELIN Stars,250.0,277.525, Italy
62,Enoteca Pinchiorri,"via Ghibellina 87, Florence, 50122, Italy",Florence,150,345,EUR,Modern,3 MICHELIN Stars,247.5,274.74975, Italy
63,Piazza Duomo,"vicolo dell'Arco 1, angolo piazza Risorgimento 4, Alba, 12051, Italy",Alba,270,300,EUR,Creative,3 MICHELIN Stars,285.0,316.3785, Italy
